SAMPLE,Recvd Wt.,Au,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Ag_2,foldername,filename,Cu_2,Au_2,Zn_2,Ce,Cs,Ge,Hf,In,Li,Nb,Rb,Re,Se,Sn,Ta,Te,Y,Zr,Sn_2,Pb_2
E571187,5.64,0.197,14,4.22,1660,180,<10,<20,2.03,20,10,10,3520,6.11,<50,1.0,<50,3.09,950,<10,0.36,<10,340,240,1.73,1310,10,60,<50,0.10,<50,<50,30,<50,4750,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571188,5.05,0.112,5,4.98,1130,150,<10,<20,3.74,10,10,10,2300,6.30,<50,1.1,<50,4.30,1100,<10,0.25,<10,80,270,2.07,280,10,80,<50,0.07,<50,<50,20,<50,2710,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571189,5.67,0.133,<1,4.41,1890,170,<10,<20,0.22,30,10,10,410,5.99,<50,1.0,<50,2.12,480,<10,0.19,<10,<50,30,2.58,<50,10,30,<50,<0.05,<50,<50,<10,<50,7120,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571190,0.11,5.26,>200,2.28,1560,1040,<10,20,2.44,190,70,90,7460,17.80,<50,0.9,<50,1.26,1240,740,0.66,60,450,21700,>10.0,1010,<10,100,<50,0.18,<50,<50,130,<50,34700,357,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571191,5.22,0.013,<1,3.24,120,200,<10,<20,0.07,<10,<10,20,80,1.96,<50,1.2,<50,0.79,190,<10,0.23,<10,<50,20,0.05,<50,<10,10,<50,<0.05,<50,<50,<10,<50,280,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571192,5.24,0.038,<1,1.51,470,170,<10,<20,0.08,<10,<10,10,40,1.35,<50,0.9,<50,0.70,80,<10,0.19,<10,<50,<20,0.06,<50,<10,20,<50,<0.05,<50,<50,<10,<50,470,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571193,3.80,0.132,1,3.38,1710,170,<10,<20,0.17,10,10,20,800,2.62,<50,0.9,<50,1.19,220,<10,0.17,<10,<50,60,0.45,<50,10,20,<50,<0.05,<50,<50,<10,<50,2020,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571194,3.67,0.019,<1,3.06,130,160,<10,<20,0.08,<10,<10,10,20,2.44,<50,0.9,<50,1.22,190,<10,0.17,<10,<50,40,<0.05,<50,<10,20,<50,<0.05,<50,<50,<10,<50,170,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571195,4.19,0.117,8,3.64,1020,130,<10,<20,0.17,20,<10,10,760,6.69,<50,0.8,<50,2.62,370,<10,0.16,<10,<50,3680,3.25,<50,10,20,<50,<0.05,<50,<50,<10,<50,9550,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571196,5.78,0.282,3,4.44,4470,150,<10,<20,1.59,10,10,10,2030,5.56,<50,0.9,<50,4.28,800,<10,0.22,<10,50,330,0.94,250,10,50,<50,<0.05,<50,<50,10,<50,3980,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571197,5.42,0.129,4,5.24,640,250,<10,<20,2.71,<10,10,10,2290,4.49,<50,1.3,<50,3.27,1130,<10,0.39,<10,210,160,0.80,270,10,80,<50,0.09,<50,<50,40,<50,350,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571198,5.44,0.121,8,5.69,600,210,<10,<20,3.59,<10,10,10,4970,6.54,<50,1.0,<50,5.99,1290,<10,0.34,<10,140,310,0.99,1760,10,90,<50,0.08,<50,<50,20,<50,550,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571199,5.47,0.036,<1,5.43,140,280,<10,<20,3.38,<10,10,10,90,2.64,<50,1.4,<50,2.42,900,<10,0.40,<10,140,70,0.59,<50,10,90,<50,0.09,<50,<50,20,<50,310,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571200,0.11,0.005,<1,4.07,<50,800,<10,<20,1.54,<10,<10,30,30,2.32,<50,1.5,<50,0.33,580,<10,3.23,10,330,<20,<0.05,<50,<10,170,<50,0.16,<50,<50,30,<50,40,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571201,5.55,0.015,<1,4.24,<50,280,<10,<20,2.82,<10,<10,<10,20,1.83,<50,1.6,<50,1.82,500,<10,0.33,<10,60,<20,0.22,<50,10,70,<50,0.06,<50,<50,10,<50,70,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571202,2.90,0.005,<1,4.27,<50,290,<10,<20,2.65,<10,<10,<10,20,1.67,<50,1.5,<50,1.72,420,<10,0.32,<10,50,<20,0.06,<50,10,70,<50,0.05,<50,<50,<10,<50,80,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571203,2.88,0.011,2,3.95,<50,290,<10,<20,4.22,<10,<10,<10,350,1.76,<50,1.5,<50,2.04,550,<10,0.37,<10,50,<20,0.13,80,10,80,<50,0.05,<50,<50,<10,<50,90,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571204,4.10,0.593,24,1.51,10600,60,<10,20,5.69,20,210,<10,22900,23.7,<50,0.3,<50,5.56,1580,<10,0.09,<10,<50,2390,>10.0,230,<10,60,<50,<0.05,<50,<50,<10,<50,7640,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571205,4.59,0.048,3,6.28,3720,220,<10,<20,2.22,10,40,<10,2840,9.34,<50,0.9,<50,8.52,1150,<10,0.15,<10,<50,120,1.84,180,10,70,<50,<0.05,<50,<50,<10,<50,1850,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571206,5.83,0.007,<1,6.62,80,720,<10,<20,5.70,<10,30,170,210,6.63,<50,0.9,<50,4.88,1100,<10,1.89,80,2030,20,0.20,<50,20,630,<50,0.74,<50,<50,260,<50,150,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571207,3.83,0.017,1,5.39,1090,160,<10,<20,4.49,<10,10,20,320,6.06,<50,0.7,<50,6.31,1490,<10,0.20,<10,140,180,0.60,50,10,100,<50,0.09,<50,<50,30,<50,510,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571208,4.26,0.015,1,6.81,170,220,<10,<20,3.77,<10,20,10,270,7.23,<50,1.0,<50,7.12,1430,<10,0.26,<10,220,310,0.44,<50,20,60,<50,0.13,<50,<50,90,<50,540,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571209,3.76,0.006,<1,5.32,<50,150,<10,<20,1.92,<10,10,10,50,5.56,<50,0.7,<50,5.44,820,<10,0.18,<10,110,50,0.19,<50,10,40,<50,0.07,<50,<50,50,<50,300,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571210,0.11,0.835,59,2.22,1470,300,<10,30,1.83,130,40,60,4670,19.25,<50,0.5,<50,1.39,660,10,0.07,20,250,3730,>10.0,170,<10,60,<50,0.07,<50,<50,40,<50,20200,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571211,3.17,0.053,17,4.69,2100,60,<10,120,6.34,10,20,<10,12100,11.45,<50,0.3,<50,8.64,1920,<10,0.06,<10,50,1400,4.07,150,10,60,<50,<0.05,<50,<50,10,<50,1960,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571212,5.33,0.019,1,6.51,120,190,<10,<20,1.30,<10,20,<10,150,7.79,<50,0.9,<50,7.47,1180,<10,0.22,<10,110,200,0.42,<50,10,50,<50,0.08,<50,<50,50,<50,460,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571213,5.79,0.073,7,5.01,4780,70,<10,<20,5.69,20,10,<10,1930,7.70,<50,0.4,<50,9.07,1230,<10,0.06,<10,<50,510,1.19,370,10,60,<50,<0.05,<50,<50,<10,<50,4760,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571214,6.25,0.009,3,4.11,240,110,<10,<20,7.03,<10,10,<10,2490,6.32,<50,0.5,<50,7.87,1580,<10,0.07,<10,60,220,0.32,<50,10,70,<50,<0.05,<50,<50,10,<50,240,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571215,2.05,0.007,1,3.17,80,<50,<10,<20,4.32,<10,<10,<10,370,4.33,<50,0.1,<50,6.13,1100,<10,<0.05,<10,<50,70,0.07,<50,<10,60,<50,<0.05,<50,<50,<10,<50,190,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571216,1.07,0.065,23,2.73,2580,<50,<10,<20,4.75,<10,10,<10,27200,6.11,<50,0.1,<50,5.31,1440,<10,<0.05,<10,<50,1030,2.45,300,10,50,<50,<0.05,<50,<50,<10,<50,570,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571217,5.71,0.015,1,4.05,1190,<50,<10,<20,2.00,<10,<10,10,800,4.79,<50,0.2,<50,5.82,750,<10,0.06,<10,<50,190,0.39,50,10,40,<50,<0.05,<50,<50,<10,<50,590,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571218,5.03,0.062,1,6.06,790,130,<10,<20,1.57,<10,10,10,240,5.94,<50,0.7,<50,8.03,1090,<10,0.18,<10,150,130,0.32,<50,10,40,<50,0.09,<50,<50,70,<50,740,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571219,4.67,0.034,<1,3.91,410,170,<10,<20,0.46,<10,<10,<10,30,2.13,<50,0.9,<50,2.93,250,<10,0.27,<10,<50,20,0.16,<50,10,30,<50,0.06,<50,<50,<10,<50,410,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571220,0.11,<0.005,<1,3.57,<50,790,<10,<20,1.49,<10,<10,30,30,2.28,<50,1.5,<50,0.33,570,<10,3.24,10,320,<20,<0.05,<50,<10,170,<50,0.17,<50,<50,30,<50,30,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571221,3.42,0.024,3,4.29,250,270,<10,<20,0.29,<10,<10,10,620,2.32,<50,1.3,<50,2.89,160,<10,0.33,<10,<50,30,0.26,160,10,30,<50,0.06,<50,<50,<10,<50,320,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571222,3.79,0.051,4,4.12,1180,100,<10,<20,2.13,10,10,<10,4250,4.91,<50,0.5,<50,5.11,1130,<10,0.11,<10,<50,70,0.64,170,10,30,<50,<0.05,<50,<50,<10,<50,1650,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571223,6.36,0.009,<1,3.89,90,140,<10,<20,1.16,<10,<10,10,530,3.32,<50,0.8,<50,3.34,560,<10,0.20,<10,<50,30,0.11,<50,10,40,<50,<0.05,<50,<50,10,<50,250,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571224,2.42,0.060,9,3.15,910,100,<10,<20,2.98,<10,10,<10,4940,5.61,<50,0.2,<50,4.68,1150,<10,<0.05,<10,<50,300,1.42,240,10,50,<50,<0.05,<50,<50,<10,<50,640,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571225,5.27,0.007,1,2.47,<50,130,<10,<20,0.91,<10,<10,10,1560,2.40,<50,0.6,<50,2.10,530,<10,0.12,<10,<50,30,0.17,<50,<10,20,<50,<0.05,<50,<50,<10,<50,130,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571226,5.89,0.025,1,2.98,360,120,<10,<20,1.16,<10,10,<10,2110,2.79,<50,0.5,<50,2.72,610,<10,0.11,<10,<50,70,0.32,50,<10,30,<50,<0.05,<50,<50,<10,<50,200,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571227,5.51,0.043,1,2.57,770,170,<10,<20,1.10,<10,<10,10,1750,2.63,<50,0.8,<50,2.41,410,<10,0.15,<10,<50,40,0.35,<50,<10,30,<50,<0.05,<50,<50,<10,<50,280,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571228,5.75,0.017,<1,2.67,210,120,<10,<20,1.19,<10,10,10,870,2.90,<50,0.6,<50,2.54,520,<10,0.13,<10,<50,30,0.15,<50,<10,20,<50,<0.05,<50,<50,<10,<50,260,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571229,5.98,0.097,<1,5.59,2060,70,<10,<20,1.98,10,10,10,170,6.08,<50,0.3,<50,6.26,760,<10,0.08,<10,<50,40,0.50,<50,10,20,<50,<0.05,<50,<50,<10,<50,1820,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571230,0.11,5.25,>200,2.45,1640,1910,<10,30,2.49,190,70,90,7850,18.15,<50,0.9,<50,1.29,1280,780,0.68,60,460,22100,>10.0,1050,10,100,<50,0.18,<50,<50,140,<50,36400,361,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571231,1.52,0.030,1,9.16,960,50,<10,<20,3.65,20,10,<10,3150,10.60,<50,0.3,<50,10.20,1190,<10,0.15,<10,<50,130,3.18,70,10,30,<50,0.06,<50,<50,<10,<50,3400,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571232,6.58,0.011,<1,5.85,190,90,<10,<20,4.63,<10,10,<10,280,6.02,<50,0.4,<50,7.96,1170,<10,0.18,<10,50,20,0.06,50,10,50,<50,<0.05,<50,<50,<10,<50,400,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571233,6.23,0.007,<1,4.47,<50,430,<10,<20,1.29,<10,20,<10,100,6.62,<50,1.5,<50,2.68,1050,<10,0.54,<10,920,<20,0.18,<50,20,40,<50,0.16,<50,<50,70,<50,120,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571234,5.73,0.009,<1,4.76,420,180,<10,<20,3.97,<10,10,<10,30,4.40,<50,0.7,<50,4.68,1220,<10,0.21,<10,310,<20,0.12,<50,10,40,<50,0.08,<50,<50,20,<50,130,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571235,5.31,0.011,<1,3.80,90,110,<10,<20,1.74,<10,<10,<10,<10,2.37,<50,0.6,<50,3.55,670,<10,0.16,<10,<50,<20,<0.05,<50,10,30,<50,<0.05,<50,<50,<10,<50,100,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571236,5.62,0.032,<1,5.03,520,80,<10,<20,3.60,<10,<10,<10,10,3.60,<50,0.4,<50,6.23,1910,<10,0.11,<10,<50,<20,<0.05,<50,10,40,<50,<0.05,<50,<50,<10,<50,120,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571237,5.71,0.240,<1,4.20,3330,50,<10,<20,3.24,<10,<10,<10,240,3.45,<50,0.2,<50,5.67,1900,<10,0.07,<10,<50,20,0.20,80,10,30,<50,<0.05,<50,<50,<10,<50,110,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571238,5.69,0.040,<1,5.62,980,<50,<10,<20,4.45,<10,10,<10,<10,4.43,<50,0.2,<50,8.52,2030,<10,0.06,<10,<50,<20,0.07,<50,10,40,<50,<0.05,<50,<50,<10,<50,130,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571239,4.58,0.051,<1,4.57,1230,70,<10,<20,4.75,<10,<10,<10,20,3.75,<50,0.3,<50,6.94,1980,<10,0.06,<10,<50,<20,0.11,<50,10,50,<50,<0.05,<50,<50,<10,<50,140,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571240,0.11,<0.005,<1,4.02,<50,800,<10,<20,1.52,<10,<10,30,30,2.29,<50,1.4,<50,0.34,580,<10,3.23,10,330,<20,<0.05,<50,<10,180,<50,0.17,<50,<50,30,<50,30,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571241,4.56,0.040,1,4.25,810,<50,<10,<20,2.86,<10,10,<10,210,4.47,<50,0.2,<50,5.88,1280,<10,<0.05,<10,<50,40,0.18,110,10,40,<50,<0.05,<50,<50,<10,<50,650,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571242,3.54,0.054,5,4.27,680,<50,<10,20,2.54,<10,10,<10,1170,5.44,<50,0.2,<50,5.73,1520,<10,<0.05,<10,<50,40,0.38,430,10,30,<50,<0.05,<50,<50,<10,<50,850,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571243,5.91,0.024,<1,3.88,160,50,<10,<20,0.97,<10,10,10,50,3.96,<50,0.2,<50,4.37,740,<10,<0.05,<10,<50,<20,0.05,<50,10,20,<50,<0.05,<50,<50,<10,<50,280,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571244,5.44,0.080,1,3.56,520,50,<10,<20,0.68,<10,10,10,230,3.70,<50,0.2,<50,3.48,510,<10,<0.05,<10,<50,40,0.11,150,10,20,<50,<0.05,<50,<50,<10,<50,350,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571245,4.72,0.035,1,3.57,310,90,<10,<20,0.60,<10,<10,10,400,3.70,<50,0.4,<50,3.10,600,<10,0.05,<10,<50,20,0.11,140,10,20,<50,<0.05,<50,<50,<10,<50,270,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571246,4.77,0.152,7,3.43,1480,110,<10,40,1.03,10,20,10,4670,4.16,<50,0.6,<50,2.90,680,<10,0.10,<10,260,50,0.83,280,10,20,<50,0.06,<50,<50,20,<50,1660,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571247,5.71,0.030,1,3.41,150,60,<10,<20,0.66,<10,<10,10,470,3.57,<50,0.2,<50,3.30,660,<10,<0.05,<10,<50,30,0.11,<50,<10,10,<50,<0.05,<50,<50,<10,<50,270,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571248,3.82,0.025,1,3.18,210,50,<10,<20,0.60,<10,10,10,1160,3.65,<50,0.1,<50,3.19,620,<10,<0.05,<10,<50,40,0.20,<50,<10,20,<50,<0.05,<50,<50,<10,<50,380,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571249,3.87,0.009,1,3.51,60,60,<10,<20,0.26,<10,<10,10,250,3.99,<50,0.2,<50,3.02,390,<10,<0.05,<10,<50,20,0.10,<50,<10,20,<50,<0.05,<50,<50,<10,<50,310,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571250,0.12,0.896,60,2.25,1480,290,<10,30,1.88,130,40,60,4800,19.60,<50,0.5,<50,1.41,690,10,0.07,20,260,3800,>10.0,180,<10,60,<50,0.07,<50,<50,40,<50,20700,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571251,3.29,0.072,3,3.50,780,70,<10,<20,1.24,<10,20,10,1840,3.93,<50,0.3,<50,3.05,790,<10,0.07,<10,<50,100,0.41,<50,<10,20,<50,<0.05,<50,<50,<10,<50,500,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571252,5.60,0.138,10,3.40,960,50,<10,<20,4.70,10,10,10,4970,5.70,<50,0.2,<50,4.68,2600,<10,0.05,<10,<50,630,1.54,<50,<10,40,<50,<0.05,<50,<50,<10,<50,2490,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571253,4.22,0.150,15,4.30,470,60,<10,20,4.25,10,10,10,12350,7.85,<50,0.3,<50,5.49,2660,<10,0.08,<10,<50,1190,2.67,<50,10,30,<50,<0.05,<50,<50,<10,<50,2330,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571254,3.11,0.058,2,4.40,360,<50,<10,<20,1.41,<10,10,10,1870,5.72,<50,0.1,<50,4.46,1050,<10,<0.05,<10,<50,60,0.51,<50,10,20,<50,<0.05,<50,<50,<10,<50,1030,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571255,5.04,0.060,2,4.91,420,330,<10,<20,2.46,10,30,10,1450,6.91,<50,0.9,<50,3.54,1170,<10,0.16,10,290,130,1.28,<50,20,30,<50,0.11,<50,<50,160,<50,3320,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571256,4.37,0.894,23,7.02,6830,<50,<10,80,2.04,60,30,<10,2890,13.05,<50,<0.1,<50,8.62,2020,<10,<0.05,<10,60,4230,3.32,<50,10,20,<50,<0.05,<50,<50,<10,<50,16450,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571257,6.37,0.070,9,4.37,100,<50,<10,<20,5.24,40,<10,<10,700,5.89,<50,0.1,<50,6.51,1730,<10,<0.05,<10,<50,5680,1.05,<50,10,40,<50,<0.05,<50,<50,<10,<50,11150,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571258,4.65,0.088,11,5.14,1120,<50,<10,<20,9.79,<10,20,20,3770,8.44,<50,0.1,<50,9.74,3010,<10,0.27,10,110,610,2.03,80,10,80,<50,0.09,<50,<50,20,<50,740,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571259,5.87,0.020,2,5.95,360,50,<10,<20,6.46,<10,10,10,200,6.66,<50,0.1,<50,8.97,2100,<10,0.14,10,70,560,0.18,<50,10,80,<50,0.06,<50,<50,10,<50,930,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571260,0.11,0.008,<1,4.51,<50,810,<10,<20,1.50,<10,<10,30,30,2.31,<50,1.6,<50,0.38,590,<10,3.25,10,340,<20,<0.05,<50,<10,180,<50,0.17,<50,<50,30,<50,30,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571261,5.42,0.031,2,5.38,740,<50,<10,<20,4.01,<10,<10,<10,320,5.80,<50,0.1,<50,7.37,1200,<10,<0.05,<10,<50,220,0.10,<50,10,30,<50,<0.05,<50,<50,<10,<50,870,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571262,4.87,0.030,<1,6.49,3210,<50,<10,<20,3.86,<10,10,<10,110,7.88,<50,<0.1,<50,9.17,1670,<10,<0.05,<10,<50,80,0.20,60,10,30,<50,<0.05,<50,<50,<10,<50,460,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571263,2.62,0.075,1,6.13,4140,<50,<10,<20,5.32,<10,10,<10,720,8.03,<50,<0.1,<50,9.83,2240,<10,<0.05,<10,<50,160,0.33,<50,10,40,<50,<0.05,<50,<50,<10,<50,430,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571264,3.01,0.006,<1,4.71,430,<50,<10,<20,1.83,<10,<10,90,20,5.13,<50,<0.1,<50,6.12,960,<10,<0.05,20,<50,40,<0.05,<50,10,20,<50,<0.05,<50,<50,<10,<50,280,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571265,6.12,0.017,<1,5.28,1160,<50,<10,<20,5.90,<10,<10,<10,30,6.29,<50,0.1,<50,8.56,2270,<10,<0.05,<10,<50,290,0.07,<50,10,60,<50,<0.05,<50,<50,<10,<50,360,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571266,4.58,0.006,<1,4.08,130,<50,<10,<20,2.05,<10,<10,10,20,4.24,<50,<0.1,<50,5.49,970,<10,<0.05,<10,<50,80,<0.05,<50,10,30,<50,<0.05,<50,<50,<10,<50,240,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571267,6.24,0.005,<1,4.96,<50,50,<10,<20,1.22,<10,<10,<10,30,4.41,<50,0.2,<50,5.29,770,<10,<0.05,<10,<50,30,<0.05,<50,10,20,<50,<0.05,<50,<50,<10,<50,240,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571268,5.43,0.007,<1,4.52,<50,<50,<10,<20,1.62,<10,<10,<10,10,4.34,<50,0.1,<50,5.33,930,<10,<0.05,<10,<50,40,<0.05,<50,10,20,<50,<0.05,<50,<50,<10,<50,220,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571269,3.50,0.008,1,4.39,<50,<50,<10,<20,4.03,<10,<10,<10,40,4.32,<50,0.2,<50,6.02,1310,<10,<0.05,<10,<50,40,<0.05,<50,10,40,<50,<0.05,<50,<50,<10,<50,200,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571270,0.11,4.89,>200,3.34,1630,2640,<10,30,2.50,190,70,90,7840,18.25,<50,1.0,<50,1.42,1260,790,0.69,60,460,22200,>10.0,1050,10,110,<50,0.19,<50,<50,140,<50,36200,358,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571271,3.65,0.014,2,4.59,110,<50,<10,<20,2.71,<10,<10,<10,390,4.75,<50,0.1,<50,5.58,1010,<10,<0.05,<10,<50,140,0.07,<50,10,10,<50,<0.05,<50,<50,<10,<50,320,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571272,4.63,<0.005,<1,4.72,<50,60,<10,<20,2.87,<10,10,<10,30,4.28,<50,0.2,<50,5.71,1130,<10,<0.05,<10,<50,20,<0.05,<50,10,30,<50,0.05,<50,<50,<10,<50,180,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
E571273,2.81,0.034,5,3.97,720,310,<10,<20,1.24,<10,10,<10,740,4.16,<50,1.4,<50,2.78,500,<10,0.24,<10,910,20,0.43,190,20,30,<50,0.16,<50,<50,20,<50,240,,TU22125500 71A 72 73 63C,TU22125500.csv,,,,,,,,,,,,,,,,,,,,
