SAMPLE,Recvd Wt.,Au,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Ag_2,foldername,filename,B,Hg,Zn_2,Ce,Cs,Ge,Hf,In,Li,Nb,Rb,Re,Se,Sn,Ta,Te,Y,Zr,Cu_2,Pb_2,Au_2
KM-10," 0.86"," 3.85"," 38.3"," 0.82",>10000," 60"," 0.10"," 22.5"," 3.60"," 56.3"," 695",<1,>10000," 28.6"," 6.22"," 0.31"," 3.1"," 2.48"," 1400"," 3.02"," 0.04"," 3.0",<10," 770",>10.0," 280"," 1.6"," 39.3"," 0.23"," 0.012"," 2.03"," 0.4"," 2"," 0.7",>10000,,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,," 1.785"," 7.30"," 0.34"," 0.52"," 0.3"," 6.51"," 0.8"," 0.4"," 5.8",<0.002," 195"," 13.0",<0.05," 11.65"," 5.5"," 9.6"," 7.31",,
KM-11," 0.52"," 3.30"," 34.7"," 0.40",>10000," 30"," 0.05"," 1.49"," 5.86"," 22.1"," 69.8",<1," 7560"," 28.5"," 3.42"," 0.16"," 2.0"," 2.83"," 1260"," 3.96"," 0.02"," 9.9"," 90"," 5540",>10.0," 431"," 1.0"," 46.5"," 0.15"," 0.009"," 2.13"," 0.5"," 1"," 0.5"," 8040",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 4.13"," 0.17"," 0.45"," 0.2"," 3.22"," 1.7"," 0.3"," 3.3",<0.002," 151"," 8.6",<0.05," 6.84"," 4.8"," 6.2",,,
KM-12," 0.56"," 9.00"," 81.8"," 1.81",>10000," 50"," 0.15"," 4.44"," 1.07"," 36.2"," 216",<1,>10000," 30.2"," 14.70"," 0.66"," 6.7"," 1.19"," 431"," 4.84"," 0.09"," 2.9"," 30"," 2260",>10.0," 1245"," 3.2"," 16.0"," 0.52"," 0.029"," 0.76"," 0.9"," 6"," 1.0",>10000,,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,," 1.430"," 15.05"," 0.60"," 0.83"," 0.6"," 3.37"," 4.7"," 0.8"," 12.5",<0.002," 294"," 19.4",<0.05," 23.3"," 3.3"," 22.8"," 2.40",,
KM-13," 0.58"," 2.58"," 56.2"," 0.97",>10000," 50"," 0.08"," 30.2"," 4.98"," 20.3"," 439",<1,>10000," 25.6"," 4.36"," 0.29"," 5.0"," 2.78"," 1400"," 4.72"," 0.05"," 17.3"," 10"," 6080",>10.0," 416"," 2.9"," 43.3"," 0.25"," 0.015"," 0.69"," 0.9"," 2"," 0.4"," 7030",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 13.85"," 0.30"," 1.72"," 0.3"," 10.75"," 2.6"," 0.5"," 5.5",<0.002," 702"," 21.6",<0.05," 31.1"," 6.2"," 11.4"," 8.93",,
KM-14," 0.66"," 5.50"," 12.90"," 0.44",>10000," 20",<0.05," 6.65"," 3.75"," 15.55"," 126.5",<1," 2800"," 33.8"," 2.15"," 0.04"," 1.6"," 2.01"," 1320"," 5.50"," 0.01"," 0.9",<10," 2420",>10.0," 218"," 1.4"," 28.1"," 0.18"," 0.007"," 20.2"," 0.4"," 2"," 0.9"," 5530",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 3.98"," 0.06"," 0.61"," 0.2"," 1.640"," 6.3"," 0.3"," 0.9",<0.002," 219"," 3.3",<0.05," 3.65"," 2.2"," 6.5",,,
KM-15," 0.90"," 1.195"," 31.0"," 0.29",>10000," 20",<0.05," 21.3"," 1.06"," 86.3"," 45.9"," 3",>10000," 16.60"," 2.67"," 0.11"," 0.7"," 0.76"," 316"," 3.22"," 0.02"," 4.4"," 60"," 1960",>10.0," 614"," 0.9"," 10.5"," 0.10",<0.005," 2.31"," 0.4"," 1"," 0.3",>10000,,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,," 2.61"," 1.53"," 0.11"," 0.26"," 0.1"," 2.07"," 0.9"," 0.1"," 2.2"," 0.003"," 95"," 25.3",<0.05," 0.59"," 1.5"," 3.3"," 4.92",,
KM-16," 0.42"," 3.50"," 33.1"," 0.04",>10000," 10",<0.05," 31.8"," 0.04"," 140.0"," 330"," 2",>10000," 19.30"," 9.44"," 0.02",<0.5," 0.12"," 85"," 6.15",<0.01," 5.3"," 10"," 5680",>10.0," 209"," 0.1"," 1.5"," 0.02",<0.005," 1.95"," 0.3"," 3"," 0.7",>10000,,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,," 6.53"," 0.56",<0.05," 1.06",<0.1," 10.05"," 0.6",<0.1," 0.4",<0.002," 405"," 69.6",<0.05," 2.60"," 0.3"," 1.1"," 12.50",,
KM-17," 0.44"," 3.30"," 30.7"," 2.13",>10000," 80"," 0.11"," 24.9"," 0.03"," 19.35"," 858",<1,>10000," 26.6"," 9.47"," 0.71"," 6.0"," 2.29"," 471"," 18.35"," 0.09"," 1.5"," 10"," 849",>10.0," 178.0"," 3.2"," 4.8"," 1.25"," 0.016"," 0.35"," 1.4"," 2"," 0.6"," 4350",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 16.15"," 0.82"," 2.93"," 1.1"," 4.20"," 7.7"," 1.1"," 14.2"," 0.013",>1000," 12.2"," 0.06"," 50.0"," 4.8"," 44.3"," 7.90",,
KM-18," 0.20"," 1.635",>100," 0.46",>10000," 30",<0.05," 31.3"," 2.55"," 67.3"," 179.0",<1,>10000," 20.3"," 3.19"," 0.08"," 1.2"," 2.20"," 1080"," 7.57"," 0.03"," 2.5"," 10"," 5780",>10.0," 8030"," 1.5"," 23.7"," 0.16"," 0.005"," 2.68"," 0.4"," 5"," 0.9",>10000," 191",RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,," 2.25"," 2.06"," 0.09"," 1.00"," 0.1"," 9.38"," 1.9"," 0.2"," 1.7",<0.002," 383"," 41.6",<0.05," 5.62"," 1.7"," 4.9"," 11.80",,
KM-19," 0.46",>10.0," 14.65"," 0.90",>10000," 30"," 0.10"," 54.3"," 0.05"," 3.87"," 1060",<1,>10000," 29.1"," 4.39"," 0.24"," 8.9"," 1.88"," 447"," 10.15"," 0.07"," 10.8"," 10"," 343",>10.0," 902"," 1.6"," 5.2"," 0.23",<0.005," 0.21"," 0.3"," 2"," 0.3"," 945",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 25.9"," 0.30"," 1.56"," 0.2"," 1.980"," 5.0"," 0.3"," 4.8"," 0.007"," 627"," 3.9",<0.05," 52.3"," 2.7"," 6.0"," 2.70",," 10.75"
KM-20," 0.42"," 9.60"," 15.65"," 1.83",>10000," 60"," 0.19"," 66.7"," 0.13"," 4.64"," 448"," 15"," 2990"," 26.1"," 8.17"," 0.48"," 16.7"," 2.95"," 669"," 6.32"," 0.12"," 9.3"," 20"," 542",>10.0," 510"," 2.3"," 7.9"," 0.31"," 0.005"," 0.18"," 0.4"," 1"," 0.2"," 1300",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 45.1"," 0.63"," 1.85"," 0.2"," 0.400"," 12.9"," 0.3"," 9.8"," 0.004"," 695"," 1.0",<0.05," 86.1"," 2.8"," 8.6",,,
KM-21," 0.60"," 0.188"," 21.3"," 2.63"," 1755"," 10"," 0.09"," 5.39"," 0.11"," 2.79"," 55.0"," 6",>10000," 12.95"," 7.21"," 0.04"," 6.3"," 1.58"," 1990"," 8.11"," 0.01"," 8.6"," 310"," 107.5"," 3.53"," 20.8"," 17.7"," 47.4"," 0.89"," 0.020"," 0.02"," 0.7"," 56"," 0.3"," 503",,RE19154202 Dave Smith 2019 07-15,RE19154202.csv,,,," 15.25"," 0.09"," 0.35"," 0.7"," 7.92"," 14.4"," 0.2"," 0.7",<0.002," 141"," 4.0",<0.05," 5.68"," 2.6"," 31.7"," 9.50",,
KM-1," 0.92"," 5.75"," 68.8"," 0.06",>10000," 10",<0.05," 40.6"," 0.03"," 257"," 211"," 9",>10000," 17.75"," 12.60"," 0.03"," 0.8"," 0.16"," 126"," 6.35"," 0.01"," 11.8"," 10",>10000,>10.0," 1725"," 0.1"," 1.5"," 0.05",<0.005," 1.87"," 0.2"," 3"," 0.7",>10000,,RE19081567 Dave Smith 2019 04-18,RE19081567.csv,,," 10.20"," 1.36",<0.05," 0.93",<0.1," 8.01"," 0.2"," 0.1"," 0.7"," 0.003"," 415"," 57.1",<0.05," 1.84"," 0.3"," 1.1"," 10.40"," 1.180",
KM-2," 0.62"," 2.09"," 33.9"," 0.12",>10000," 10",<0.05," 13.50"," 0.80"," 58.7"," 88.8"," 3",>10000," 35.0"," 3.34"," 0.04",<0.5," 0.36"," 339"," 5.75"," 0.01"," 4.0"," 60"," 3560",>10.0," 611"," 0.1"," 8.2"," 0.02",<0.005," 23.3"," 0.3"," 3"," 9.9",>10000,,RE19081567 Dave Smith 2019 04-18,RE19081567.csv,,," 2.35"," 0.26"," 0.10"," 0.34",<0.1," 3.05"," 0.2",<0.1," 0.8"," 0.003"," 112"," 24.2",<0.05," 2.24"," 0.6"," 0.6"," 7.38",,
KM-3," 1.10",>10.0," 43.4"," 0.34",>10000," 20",<0.05," 99.0"," 2.30"," 3.64"," 1045"," 3",>10000," 27.7"," 1.60"," 0.12"," 0.7"," 1.23"," 167"," 2.88"," 0.02"," 0.8",<10," 509",>10.0," 1370"," 0.3"," 23.0"," 0.01",<0.005," 0.12",<0.1," 1"," 0.1"," 457",,RE19081567 Dave Smith 2019 04-18,RE19081567.csv,,,," 2.32"," 0.16"," 2.85",<0.1," 0.539"," 1.0"," 0.1"," 2.3"," 0.002",>1000," 1.4",<0.05," 81.8"," 3.1"," 0.5"," 1.140",," 24.9"
KM-4," 0.84"," 7.24"," 12.15"," 1.83",>10000," 50"," 0.06"," 54.7"," 0.05"," 5.84"," 1420",<1,>10000," 27.6"," 8.21"," 0.37"," 42.5"," 2.87"," 400"," 5.76"," 0.07"," 1.8"," 50"," 279",>10.0," 406"," 2.0"," 5.5"," 0.56"," 0.007"," 0.23"," 0.9"," 2"," 0.3"," 1400",,RE19081567 Dave Smith 2019 04-18,RE19081567.csv,,,," 118.5"," 0.46"," 1.86"," 0.4"," 0.650"," 11.4"," 0.4"," 8.0"," 0.006"," 812"," 2.2",<0.05," 61.5"," 4.9"," 14.9"," 1.290",,
