SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
D535299,0.16,0.005,0.11,1.60,10.9,<10,30,0.14,0.13,6.21,0.34,9.61,12.2,6,0.76,142.5,3.47,3.70,<0.05,0.07,0.26,0.016,0.06,4.1,16.4,1.16,545,0.36,<0.01,0.14,3.9,660,3.5,3.7,<0.001,0.02,1.28,3.3,0.8,0.2,60.0,<0.01,0.08,1.0,<0.005,0.03,0.35,17,0.05,4.04,228,2.2,Soil Certificates,TU22092958.csv,
PN0000996001,0.24,0.018,0.38,1.17,48.9,<10,60,0.29,0.50,0.14,0.99,20.0,15.2,16,1.04,88.8,3.89,3.17,0.06,0.04,0.21,0.049,0.10,10.4,16.6,0.65,838,2.42,<0.01,0.33,14.2,450,51.4,8.5,0.001,0.02,18.20,3.9,2.0,0.4,23.4,<0.01,1.28,2.2,0.018,0.09,0.46,22,0.11,5.95,227,1.3,Soil Certificates,TU22075102.csv,
PN0000996002,0.20,0.041,0.34,0.72,81.2,<10,80,0.51,0.17,8.82,0.26,13.50,9.5,13,1.04,126.0,2.73,1.70,<0.05,0.03,0.25,0.028,0.07,7.2,6.6,0.31,670,1.06,<0.01,0.11,10.8,350,25.1,4.3,<0.001,0.02,16.20,2.4,0.8,0.2,59.8,<0.01,0.30,0.5,<0.005,0.05,0.39,14,0.11,6.75,90,1.0,Soil Certificates,TU22075102.csv,
PN0000996003,0.18,0.014,0.11,0.80,43.9,<10,70,0.23,0.11,12.90,0.20,9.86,8.3,20,1.90,49.0,2.45,1.84,<0.05,0.03,0.12,0.019,0.08,5.1,9.4,0.87,420,0.57,<0.01,0.16,17.6,320,20.8,5.6,<0.001,0.02,3.27,2.2,0.8,<0.2,150.5,<0.01,0.26,0.7,0.008,0.05,0.34,17,0.10,4.03,66,1.0,Soil Certificates,TU22075102.csv,
PN0000996004,0.22,0.011,0.24,1.46,258,<10,90,0.49,0.12,5.26,0.43,21.2,29.6,49,1.43,68.1,5.68,4.16,0.06,0.03,0.18,0.031,0.19,10.3,13.7,0.80,1375,1.26,0.01,0.29,86.6,390,8.9,12.6,0.001,0.02,9.64,5.7,0.9,0.3,86.4,<0.01,0.06,1.9,0.016,0.16,0.55,42,0.09,6.79,103,1.0,Soil Certificates,TU22075102.csv,
PN0000996005,0.19,0.007,0.04,1.58,51.3,<10,30,0.24,0.03,17.45,0.19,10.40,19.2,36,2.62,42.9,4.23,8.84,0.06,0.08,0.07,0.033,0.04,5.2,11.0,1.05,912,0.27,<0.01,0.08,39.3,440,1.9,2.6,<0.001,0.01,3.48,8.9,0.6,0.2,263,<0.01,0.02,0.5,0.006,0.03,0.21,116,0.27,9.35,51,2.0,Soil Certificates,TU22075102.csv,
PN0000996006,0.19,0.030,0.18,3.24,26.8,<10,70,0.39,0.11,1.37,0.21,19.85,37.0,61,3.00,191.0,6.98,11.60,0.08,0.09,0.34,0.047,0.08,11.6,21.8,1.92,1185,0.41,<0.01,0.17,67.9,240,5.6,6.6,0.001,0.01,3.14,19.0,0.5,0.5,34.9,<0.01,0.04,2.2,0.017,0.06,0.31,154,0.08,20.2,80,2.4,Soil Certificates,TU22075102.csv,
PN0000996007,0.21,0.014,0.15,2.83,33.9,10,70,0.55,0.14,1.13,0.21,15.75,34.3,57,0.68,164.5,6.28,10.85,0.08,0.10,0.17,0.037,0.10,9.0,18.4,1.51,1125,0.52,0.01,0.15,57.6,320,7.5,5.6,0.001,<0.01,2.17,12.8,0.4,0.4,37.2,<0.01,0.06,2.2,0.118,0.07,0.42,152,<0.05,16.15,72,2.9,Soil Certificates,TU22075102.csv,
PN0000996008,0.23,0.040,0.09,2.62,29.4,<10,70,0.50,0.10,0.75,0.16,15.40,32.1,96,1.04,140.5,5.25,7.98,0.06,0.12,0.08,0.024,0.06,9.8,18.4,1.61,659,0.46,0.01,0.17,66.5,220,4.6,4.9,<0.001,<0.01,1.52,9.3,0.2,0.4,30.2,<0.01,0.04,2.7,0.078,0.08,0.36,106,<0.05,11.65,67,4.3,Soil Certificates,TU22075102.csv,
PN0000996009,0.26,0.009,0.05,2.53,28.5,<10,50,0.27,0.03,11.05,0.14,10.55,33.1,140,1.43,109.5,4.29,5.97,0.05,0.08,0.18,0.027,0.04,5.7,19.4,1.52,999,0.18,<0.01,0.06,86.2,260,1.9,2.3,<0.001,0.01,3.73,15.2,0.4,0.2,62.9,<0.01,0.03,0.8,0.006,0.04,0.15,95,0.09,15.70,51,1.7,Soil Certificates,TU22075102.csv,
PN0000996010,0.20,0.026,0.09,1.90,35.1,<10,80,0.36,0.09,11.50,0.20,14.20,24.9,53,1.09,91.3,4.52,6.48,0.06,0.06,0.22,0.028,0.10,7.3,12.2,1.17,935,0.45,0.01,0.24,44.5,490,5.1,5.6,0.001,0.01,2.86,7.4,0.5,0.3,139.5,<0.01,0.04,1.0,0.011,0.06,0.54,88,0.15,11.65,61,1.6,Soil Certificates,TU22075102.csv,
PN0000996011,0.22,0.003,0.09,2.33,78.4,<10,70,0.47,0.13,6.63,0.26,16.25,28.4,178,1.72,91.5,5.21,7.78,0.06,0.05,0.16,0.035,0.13,7.9,26.0,1.71,1205,0.58,<0.01,0.19,117.5,350,8.0,10.0,0.001,0.01,10.60,12.9,0.5,0.3,80.9,<0.01,0.05,1.8,0.012,0.08,0.28,102,0.10,6.19,82,1.7,Soil Certificates,TU22075102.csv,
PN0000996012,0.26,0.003,0.03,0.32,9.6,10,60,0.10,0.03,15.45,0.06,6.13,5.7,5,1.18,18.2,0.87,0.79,<0.05,0.03,0.04,0.006,0.06,3.1,4.5,1.60,270,0.29,0.01,0.11,4.9,360,2.4,2.8,<0.001,0.03,1.34,1.1,0.5,<0.2,231,<0.01,0.02,0.4,0.005,0.02,0.65,8,<0.05,2.50,22,1.0,Soil Certificates,TU22075102.csv,
PN0000996013,0.24,0.004,0.09,0.69,14.5,10,70,0.33,0.11,6.69,0.15,18.00,9.2,9,2.01,42.7,2.54,1.88,<0.05,<0.02,0.10,0.017,0.16,9.2,7.7,0.42,668,0.53,<0.01,0.34,9.3,450,9.7,10.0,<0.001,0.02,1.75,2.1,0.6,0.2,90.7,<0.01,0.04,0.7,0.013,0.06,0.32,15,0.08,6.78,52,0.5,Soil Certificates,TU22075102.csv,
PN0000996014,0.28,0.015,0.18,1.37,31.1,<10,80,0.37,0.22,0.39,0.14,22.0,11.4,15,0.87,73.7,3.36,3.47,0.05,0.03,0.14,0.021,0.08,11.8,11.9,0.64,533,0.56,<0.01,0.15,11.8,180,19.3,6.1,<0.001,<0.01,2.25,3.9,0.5,0.3,21.4,<0.01,0.20,2.0,0.009,0.06,0.35,25,0.08,6.92,79,0.9,Soil Certificates,TU22075102.csv,
PN0000996015,0.23,0.009,0.15,1.17,7.5,<10,70,0.22,0.08,6.84,0.19,15.90,15.2,12,0.52,49.8,2.60,2.79,<0.05,0.03,0.09,0.012,0.08,8.1,12.6,0.71,759,0.48,<0.01,0.18,11.2,360,28.2,5.4,<0.001,0.01,1.28,3.1,0.5,0.2,68.0,<0.01,0.04,1.1,0.007,0.05,0.30,17,0.06,5.64,79,1.2,Soil Certificates,TU22075102.csv,
PN0000996016,0.18,0.010,0.11,2.08,213,<10,70,0.37,1.06,0.21,0.17,15.50,27.7,22,0.79,229,5.70,5.48,0.06,0.05,0.11,0.033,0.07,7.6,16.1,1.28,1020,1.00,0.01,0.11,20.8,540,7.3,5.1,0.001,0.05,7.52,7.9,3.1,0.3,31.4,<0.01,1.63,2.0,0.008,0.05,0.83,59,0.06,7.31,43,2.4,Soil Certificates,TU22075102.csv,
PN0000996017,0.24,0.057,0.66,0.66,57.2,<10,30,0.10,0.14,0.22,0.22,10.45,7.2,5,0.28,45.9,3.01,1.74,<0.05,0.03,1.26,0.015,0.03,5.4,3.4,0.26,195,1.22,<0.01,0.07,3.3,170,8.5,1.6,<0.001,0.01,6.16,1.8,3.4,<0.2,17.2,<0.01,0.85,1.2,<0.005,0.03,0.34,10,<0.05,3.74,40,1.1,Soil Certificates,TU22075102.csv,
PN0000996018,0.20,0.041,0.52,1.56,34.8,<10,90,0.21,0.46,0.36,0.20,16.10,13.9,17,0.46,87.0,3.55,3.36,<0.05,0.08,0.66,0.020,0.05,8.7,8.9,0.50,267,2.47,0.01,0.16,10.6,410,13.1,2.9,<0.001,0.04,2.50,3.2,1.6,0.2,31.3,<0.01,2.87,1.7,<0.005,0.05,0.56,21,<0.05,4.98,61,2.2,Soil Certificates,TU22075102.csv,
PN0000996019,0.22,0.027,0.20,1.88,7.7,<10,20,0.17,0.14,3.84,0.39,20.2,14.4,15,0.36,144.0,2.61,4.16,<0.05,0.05,0.22,0.011,0.04,10.6,15.7,1.39,494,2.97,<0.01,0.09,10.9,390,172.0,2.4,<0.001,<0.01,1.98,2.2,0.4,<0.2,32.4,<0.01,0.05,1.9,<0.005,0.03,0.45,17,0.05,3.87,75,1.6,Soil Certificates,TU22075102.csv,
PN0000996020,0.17,0.009,0.14,1.61,17.0,<10,80,0.44,0.15,3.29,0.22,22.5,14.1,17,1.83,53.4,2.82,4.07,0.05,0.04,0.09,0.020,0.18,11.4,14.2,0.87,721,0.62,<0.01,0.46,17.2,390,22.2,12.6,<0.001,0.02,1.12,3.1,0.5,0.4,66.9,<0.01,0.04,1.3,0.013,0.11,0.36,28,0.08,7.45,68,1.2,Soil Certificates,TU22075102.csv,
PN0000996021,0.20,0.014,0.13,1.74,29.1,<10,80,0.32,0.11,5.59,0.16,16.35,12.3,14,1.26,61.5,3.08,3.99,<0.05,0.06,0.09,0.017,0.14,8.7,14.1,1.01,629,0.52,<0.01,0.22,12.4,380,15.1,8.7,<0.001,0.01,0.74,3.5,0.4,0.3,59.6,<0.01,0.03,1.3,0.008,0.07,0.29,33,0.07,6.34,69,1.6,Soil Certificates,TU22075102.csv,
PN0000996022,0.20,0.008,0.13,1.56,14.2,<10,70,0.30,0.21,0.30,0.28,27.5,13.0,20,0.68,39.2,2.64,3.98,0.05,0.06,0.09,0.019,0.11,14.8,11.1,0.81,674,0.99,<0.01,0.20,12.0,250,28.1,7.3,<0.001,<0.01,1.14,3.3,0.4,0.3,21.4,<0.01,0.06,3.8,0.011,0.06,0.37,22,0.08,6.93,63,2.1,Soil Certificates,TU22075102.csv,
PN0000996023,0.22,0.018,0.17,2.54,37.1,<10,50,0.21,1.88,0.16,0.30,13.95,17.0,16,0.48,153.5,5.67,6.94,0.06,0.08,0.22,0.022,0.04,7.4,21.0,1.14,464,3.11,0.01,0.09,11.9,560,12.7,2.7,<0.001,0.04,1.04,6.0,2.1,0.2,28.4,<0.01,1.60,1.5,0.006,0.04,0.58,38,0.05,5.19,134,2.2,Soil Certificates,TU22075102.csv,
PN0000996024,0.20,0.049,0.15,1.50,107.5,<10,40,0.17,0.19,0.24,0.11,10.95,6.8,6,0.46,74.3,5.61,5.07,0.06,0.08,0.71,0.029,0.03,5.9,9.6,0.64,369,1.77,0.01,0.08,4.3,490,30.0,2.0,<0.001,0.04,2.73,4.9,3.2,0.2,25.0,<0.01,0.80,1.5,<0.005,0.10,0.70,23,0.05,3.38,56,2.3,Soil Certificates,TU22075102.csv,
PN0000996025,0.17,0.014,0.15,1.87,239,<10,60,0.26,1.51,0.14,0.18,13.50,9.1,12,0.87,209,5.73,5.04,0.07,0.05,0.09,0.038,0.10,7.0,16.0,0.98,339,1.00,0.01,0.17,8.8,510,10.6,6.6,0.001,0.07,10.45,4.5,8.0,0.3,26.6,<0.01,2.07,1.5,0.010,0.18,0.54,36,0.06,4.45,64,1.4,Soil Certificates,TU22075102.csv,
PN0000996026,0.22,0.027,0.33,1.47,13.6,<10,100,0.28,0.08,6.36,0.33,22.9,12.0,13,0.80,39.5,2.69,3.54,0.05,0.05,0.16,0.014,0.08,12.3,18.9,1.27,486,0.35,0.01,0.21,9.7,480,54.6,5.9,<0.001,0.02,0.92,2.6,0.6,0.2,87.4,<0.01,0.04,1.2,0.011,0.05,0.30,20,0.07,6.47,102,1.4,Soil Certificates,TU22075102.csv,
PN0000996027,0.21,0.009,0.12,1.58,414,10,70,0.40,0.11,9.35,0.31,16.60,27.8,53,1.36,83.0,4.98,4.70,0.06,0.04,0.14,0.025,0.20,8.6,12.2,0.95,1155,1.00,0.01,0.19,85.0,400,7.5,11.8,0.001,0.02,10.40,5.6,0.8,0.3,96.8,<0.01,0.05,1.5,0.021,0.10,0.77,58,0.10,8.73,93,1.2,Soil Certificates,TU22075102.csv,
PN0000996028,0.20,0.011,0.13,2.29,38.4,10,50,0.36,0.09,10.20,0.29,13.70,31.5,119,0.89,104.5,5.42,7.49,0.07,0.06,0.12,0.028,0.15,7.3,17.6,1.65,992,0.52,0.01,0.18,95.9,480,4.7,8.2,<0.001,0.02,5.34,10.0,0.6,0.3,110.0,<0.01,0.05,1.2,0.041,0.07,0.45,91,<0.05,8.34,82,1.6,Soil Certificates,TU22075102.csv,
PN0000996029,0.21,0.007,0.11,2.62,49.1,10,70,0.36,0.20,7.33,0.44,14.50,39.6,204,1.26,109.0,6.55,11.65,0.08,0.06,0.10,0.048,0.13,7.1,27.6,1.82,1175,0.87,0.01,0.18,141.0,560,14.7,8.2,<0.001,0.02,3.98,14.1,1.2,0.4,72.5,<0.01,0.08,1.5,0.023,0.08,0.32,163,0.05,5.87,104,2.0,Soil Certificates,TU22075102.csv,
PN0000996030,0.20,0.054,0.28,1.15,35.4,<10,80,0.34,0.18,1.25,0.25,22.8,20.0,22,1.07,60.8,3.49,3.02,0.05,0.03,0.27,0.030,0.09,12.7,13.6,0.54,1040,0.64,<0.01,0.28,21.1,260,9.8,6.5,<0.001,0.01,5.08,3.8,0.7,0.3,47.9,<0.01,0.12,2.0,0.010,0.06,0.35,24,0.09,9.72,66,0.9,Soil Certificates,TU22075102.csv,
PN0000996031,0.23,0.075,1.02,0.95,74.8,<10,70,0.24,0.94,0.17,0.67,18.40,22.9,10,1.26,222,4.32,2.79,0.08,0.04,0.67,0.062,0.08,9.8,12.4,0.45,1155,2.22,<0.01,0.22,11.1,290,51.9,5.0,0.001,<0.01,19.95,4.5,3.0,0.3,19.3,<0.01,2.00,2.2,0.010,0.07,0.47,19,0.10,7.75,144,1.3,Soil Certificates,TU22075102.csv,
PN0000996032,0.22,0.006,0.01,1.02,34.9,<10,20,0.21,0.03,22.8,0.06,9.77,13.8,18,0.60,62.7,2.56,3.76,<0.05,0.08,0.11,0.021,0.03,6.1,8.7,0.71,411,0.13,0.01,<0.05,24.6,320,1.5,1.5,<0.001,0.04,1.33,9.0,0.7,0.2,125.5,<0.01,0.03,0.3,0.005,<0.02,0.21,60,<0.05,16.55,31,1.5,Soil Certificates,TU22075102.csv,
PN0000996033,0.23,0.016,0.08,3.17,58.5,<10,60,0.60,0.13,1.14,0.14,24.4,46.3,51,1.87,142.5,7.57,13.30,0.09,0.10,0.10,0.061,0.09,11.4,21.5,1.59,1460,0.47,0.01,0.06,51.3,390,8.9,5.9,<0.001,<0.01,2.64,22.0,0.4,0.6,29.8,<0.01,0.06,2.2,0.026,0.05,0.32,210,0.06,22.8,91,2.2,Soil Certificates,TU22075102.csv,
PN0000996034,0.20,0.004,0.04,2.33,50.5,<10,60,0.42,0.06,8.69,0.10,18.80,30.0,51,1.18,99.6,4.95,8.54,0.07,0.09,0.07,0.034,0.07,9.5,14.0,1.37,884,0.33,0.01,0.10,58.3,390,3.2,5.4,<0.001,0.01,1.71,12.2,0.4,0.3,71.7,<0.01,0.03,1.2,0.019,0.05,0.25,118,<0.05,15.35,60,2.4,Soil Certificates,TU22075102.csv,
PN0000996035,0.17,0.008,0.08,2.67,69.6,10,60,0.50,0.10,4.47,0.14,17.95,35.4,85,2.59,145.0,5.74,10.30,0.08,0.06,0.14,0.033,0.10,8.9,17.2,1.63,915,0.42,<0.01,0.18,66.9,310,4.8,7.2,<0.001,0.01,3.10,11.7,0.5,0.5,51.7,<0.01,0.05,1.7,0.046,0.06,0.29,127,0.07,16.05,76,1.9,Soil Certificates,TU22075102.csv,
PN0000996036,0.19,0.036,0.11,2.97,30.1,10,60,0.44,0.10,1.04,0.22,16.35,38.5,65,1.06,166.5,7.17,12.15,0.10,0.08,0.12,0.045,0.07,8.4,15.5,1.64,1120,0.39,0.01,0.23,61.8,360,5.2,4.3,<0.001,0.01,2.04,15.5,0.6,0.5,36.4,<0.01,0.05,1.4,0.070,0.06,0.34,179,<0.05,17.85,87,2.1,Soil Certificates,TU22075102.csv,
PN0000996037,0.20,0.016,0.05,1.94,81.3,10,70,0.41,0.07,8.64,0.15,18.40,30.5,32,1.55,108.5,5.75,9.14,0.09,0.06,0.09,0.040,0.16,9.0,10.1,1.08,926,0.48,<0.01,0.15,41.8,520,3.8,7.9,<0.001,0.01,5.45,8.1,0.5,0.3,86.5,<0.01,0.03,1.6,0.046,0.08,0.47,127,0.08,14.05,69,1.9,Soil Certificates,TU22075102.csv,
PN0000996038,0.20,0.013,0.13,2.74,10.6,<10,80,0.51,0.20,0.69,0.28,20.1,35.4,68,1.88,126.0,6.79,13.35,0.11,0.10,0.10,0.045,0.25,9.8,14.6,1.42,974,0.55,0.01,0.26,60.2,500,11.8,12.0,<0.001,0.01,2.34,10.6,0.5,0.7,34.5,<0.01,0.05,2.5,0.186,0.10,0.35,181,<0.05,14.60,98,3.3,Soil Certificates,TU22075102.csv,
PN0000996039,0.20,0.021,0.05,2.30,39.1,<10,40,0.39,0.04,10.80,0.27,17.00,34.8,58,1.46,101.5,6.02,11.40,0.10,0.08,0.08,0.048,0.04,7.2,11.7,1.12,1270,0.19,<0.01,0.05,61.5,340,2.8,2.8,<0.001,0.01,1.61,16.8,0.4,0.5,149.5,<0.01,0.03,0.7,0.042,0.03,0.15,165,<0.05,20.9,75,1.3,Soil Certificates,TU22075102.csv,
PN0000996040,0.19,0.003,0.04,2.10,49.4,<10,100,0.39,0.03,13.65,0.21,19.40,39.1,546,1.34,80.6,4.41,6.28,0.10,0.05,0.10,0.026,0.12,11.6,20.6,4.06,707,0.26,<0.01,0.24,333,350,2.9,6.7,<0.001,0.01,3.30,10.2,0.5,0.2,364,<0.01,0.03,0.7,0.059,0.09,0.21,88,<0.05,4.11,46,1.4,Soil Certificates,TU22075102.csv,
PN0000996041,0.24,0.008,0.21,2.00,58.4,<10,40,0.37,0.07,9.81,0.54,14.20,32.1,44,1.00,71.5,6.13,6.95,0.08,0.06,0.61,0.030,0.11,6.6,17.6,1.44,1275,1.27,0.01,0.15,56.6,580,6.7,6.0,0.001,0.03,2.66,7.8,1.8,0.2,128.5,<0.01,0.07,1.5,0.009,0.08,0.35,94,0.06,5.35,100,2.0,Soil Certificates,TU22075102.csv,
PN0000996042,0.21,0.004,0.05,1.66,144.5,10,80,0.60,0.08,9.39,0.18,10.35,26.8,148,2.02,68.7,4.48,4.46,0.06,0.03,0.10,0.028,0.09,5.1,24.1,1.41,908,0.79,<0.01,0.15,114.0,310,6.0,6.4,<0.001,0.01,8.88,13.8,0.7,0.2,83.8,<0.01,0.06,0.5,0.008,0.05,0.28,97,0.23,4.43,80,1.5,Soil Certificates,TU22075102.csv,
PN0000996043,0.21,0.004,0.06,1.42,102.5,<10,40,0.33,0.06,11.25,0.16,8.47,33.7,162,0.77,85.1,4.50,3.50,0.06,0.03,0.05,0.028,0.11,4.0,15.9,1.20,855,0.40,<0.01,0.14,141.5,350,5.1,5.5,<0.001,0.01,11.25,9.1,0.9,0.2,101.5,<0.01,0.04,0.7,0.010,0.04,0.22,64,0.09,3.53,68,1.2,Soil Certificates,TU22075102.csv,
PN0000996044,0.20,0.075,1.51,2.18,262,<10,20,0.11,0.19,0.31,0.25,14.40,12.8,28,0.46,182.5,7.12,5.20,0.09,0.08,0.34,0.051,0.06,6.8,20.7,1.41,814,1.65,0.02,0.06,12.5,470,47.7,2.3,0.001,0.10,3.35,5.5,7.9,<0.2,52.2,<0.01,0.74,1.4,0.005,0.03,0.32,40,<0.05,2.44,216,2.1,Soil Certificates,TU22075102.csv,
PN0000996045,0.14,0.033,0.16,1.50,25.4,<10,70,0.28,0.22,0.73,0.19,21.7,15.1,17,1.01,74.1,3.95,3.43,0.06,0.05,0.20,0.032,0.15,10.7,11.0,0.68,654,0.64,0.01,0.37,12.2,420,11.5,7.3,0.001,0.03,6.53,5.6,1.5,0.3,39.8,<0.01,0.36,2.2,0.010,0.08,0.32,26,0.06,6.72,88,1.8,Soil Certificates,TU22075102.csv,
PN0000996046,0.21,0.010,0.11,1.92,49.2,<10,50,0.16,0.24,0.27,0.43,11.45,9.9,9,0.78,33.8,6.33,6.49,0.09,0.06,0.15,0.126,0.06,5.5,17.0,1.08,236,2.07,0.01,0.12,6.3,640,15.6,2.9,<0.001,0.08,3.88,6.0,12.3,0.2,42.8,<0.01,1.89,1.4,0.005,0.04,0.33,30,0.05,3.69,155,1.7,Soil Certificates,TU22075102.csv,
PN0000996047,0.21,0.013,0.25,1.54,50.3,<10,70,0.37,0.32,0.26,0.29,26.1,9.8,21,0.94,142.0,3.01,3.83,0.06,0.04,0.14,0.024,0.12,14.0,11.8,0.71,482,1.46,<0.01,0.28,13.8,320,47.0,7.5,<0.001,0.01,1.47,3.5,0.7,0.3,19.4,<0.01,0.16,2.4,0.014,0.07,0.47,28,0.11,6.92,68,1.4,Soil Certificates,TU22075102.csv,
PN0000996048,0.22,0.013,0.18,2.20,11.6,<10,70,0.43,0.13,0.43,0.14,24.6,11.8,17,0.98,54.5,3.88,5.26,0.07,0.09,0.12,0.024,0.10,12.8,17.2,1.18,723,0.63,<0.01,0.25,12.8,330,10.8,6.6,<0.001,0.01,1.02,5.9,0.5,0.3,31.8,<0.01,0.03,2.3,0.012,0.07,0.59,31,0.08,8.74,69,2.9,Soil Certificates,TU22075102.csv,
PN0000996049,0.19,0.010,0.13,2.13,17.0,<10,80,0.52,0.17,0.39,0.16,28.2,12.3,22,1.12,49.1,3.65,5.44,0.07,0.07,0.08,0.024,0.12,15.0,18.0,1.15,725,0.87,0.01,0.21,14.0,330,19.8,8.5,<0.001,0.01,1.65,5.2,0.4,0.4,30.1,<0.01,0.05,4.2,0.020,0.08,0.43,36,0.12,8.08,77,2.9,Soil Certificates,TU22075102.csv,
PN0000996050,0.18,0.017,0.17,1.39,20.4,<10,70,0.30,0.19,0.30,0.17,23.4,7.2,15,0.63,37.7,2.50,3.27,0.05,0.05,0.09,0.014,0.09,12.6,10.0,0.71,502,0.94,<0.01,0.23,10.3,220,31.3,5.5,<0.001,0.01,1.06,2.5,0.4,0.2,20.6,<0.01,0.12,2.3,0.009,0.06,0.30,18,0.10,5.87,67,1.7,Soil Certificates,TU22075102.csv,
PN0000996051,0.27,0.014,0.20,1.76,55.3,<10,80,0.39,0.31,0.43,0.56,23.5,18.0,16,2.07,48.2,4.55,5.64,0.06,0.04,0.14,0.042,0.13,11.5,16.6,0.99,1065,1.34,0.01,0.23,12.5,500,18.5,10.8,<0.001,0.04,2.86,6.5,1.0,0.4,41.9,<0.01,0.65,2.6,0.017,0.15,0.46,32,0.08,8.22,121,1.3,Soil Certificates,TU22075092.csv,
PN0000996052,0.22,0.047,0.38,1.14,109.0,<10,60,0.21,0.22,6.26,0.72,12.15,20.5,16,0.93,88.3,3.41,2.90,<0.05,0.03,0.31,0.040,0.09,5.4,13.8,0.89,1170,0.85,<0.01,0.18,13.0,550,40.9,7.3,<0.001,0.02,11.20,4.5,1.1,0.2,49.5,<0.01,0.38,0.7,0.009,0.14,0.45,26,0.07,4.82,233,0.8,Soil Certificates,TU22075092.csv,
PN0000996053,0.19,0.066,0.64,1.52,152.0,<10,110,0.46,0.24,0.38,2.35,25.7,19.8,21,1.17,188.5,4.55,4.59,0.06,0.06,0.79,0.082,0.12,14.0,17.0,0.66,1960,2.03,<0.01,0.22,16.6,410,44.7,8.0,<0.001,0.01,7.72,6.3,1.1,0.4,33.1,<0.01,0.58,2.4,0.014,0.11,0.63,28,0.10,12.20,611,1.6,Soil Certificates,TU22075092.csv,
PN0000996054,0.19,0.006,0.13,1.46,95.6,<10,80,0.43,0.11,7.48,0.30,18.35,43.6,114,1.46,75.0,4.55,4.41,0.05,0.02,0.11,0.032,0.17,8.7,16.0,0.99,1295,0.72,0.01,0.18,133.0,370,7.2,12.2,<0.001,0.01,18.60,7.3,0.8,0.3,92.1,<0.01,0.05,1.0,0.014,0.09,0.38,52,0.10,6.73,78,0.8,Soil Certificates,TU22075092.csv,
PN0000996055,0.20,0.010,0.04,0.55,81.8,<10,30,0.21,0.08,9.74,0.19,5.42,23.5,21,1.26,84.6,3.65,1.84,<0.05,<0.02,0.08,0.018,0.05,2.6,6.7,0.74,606,1.02,<0.01,0.10,36.7,300,3.7,2.6,<0.001,0.01,6.66,5.1,0.5,<0.2,79.0,<0.01,0.03,0.5,<0.005,0.02,0.24,33,0.12,2.54,99,0.7,Soil Certificates,TU22075092.csv,
PN0000996056,0.26,0.003,0.07,2.00,60.3,10,80,0.46,0.09,10.55,0.24,22.4,30.7,226,2.33,93.7,4.74,8.24,0.07,0.03,0.06,0.030,0.17,11.3,18.4,1.70,926,0.59,<0.01,0.19,128.5,490,5.6,10.7,<0.001,0.01,3.88,9.4,0.6,0.3,162.5,<0.01,0.03,1.3,0.030,0.07,0.26,95,<0.05,8.44,67,1.3,Soil Certificates,TU22075092.csv,
PN0000996057,0.18,0.018,0.06,3.57,35.3,<10,40,0.60,0.06,1.26,0.10,20.2,60.7,976,0.47,156.5,7.90,13.80,0.09,0.07,0.16,0.039,0.03,12.5,25.0,3.49,1015,0.21,<0.01,0.14,447,180,3.1,2.3,<0.001,<0.01,2.49,14.0,0.3,0.4,32.3,<0.01,0.03,1.2,0.125,0.04,0.28,173,0.07,8.90,57,2.1,Soil Certificates,TU22075092.csv,
PN0000996058,0.19,0.010,0.08,2.72,30.0,<10,70,0.54,0.23,0.82,0.21,19.45,44.5,110,0.66,158.5,7.03,13.55,0.08,0.07,0.13,0.059,0.10,8.7,21.3,1.83,1315,0.53,<0.01,0.20,76.1,390,11.7,6.1,<0.001,0.01,2.89,17.6,0.4,0.6,30.7,<0.01,0.05,1.5,0.081,0.05,0.28,203,<0.05,21.4,82,1.9,Soil Certificates,TU22075092.csv,
PN0000996059,0.16,0.024,0.10,3.34,179.0,<10,70,0.64,0.02,1.40,0.17,21.0,62.9,61,0.54,299,9.08,18.55,0.09,0.13,0.09,0.053,0.02,6.4,27.3,1.64,1970,0.38,<0.01,<0.05,79.5,230,1.6,1.0,<0.001,<0.01,7.57,24.7,0.3,0.5,32.4,<0.01,0.01,0.5,0.015,<0.02,0.19,305,<0.05,23.1,93,2.4,Soil Certificates,TU22075092.csv,
PN0000996060,0.21,0.003,0.01,1.48,61.3,<10,30,0.26,0.01,18.70,0.18,11.25,23.7,25,0.98,68.9,3.93,6.91,0.05,0.08,0.03,0.033,0.02,5.7,17.9,0.75,832,0.13,<0.01,<0.05,31.9,290,0.8,1.5,<0.001,0.01,3.15,14.5,0.2,0.2,103.5,<0.01,0.01,0.3,0.005,<0.02,0.12,108,<0.05,17.70,45,1.3,Soil Certificates,TU22075092.csv,
